disease,description,home_remedies,medicine_category,consult_if,severity
panic disorder,Recurrent unexpected panic attacks with intense fear and physical symptoms.,Deep breathing · Grounding techniques · Regular exercise · Limit caffeine · Meditation,SSRIs · Benzodiazepines · Beta blockers · CBT therapy,Attacks increasing in frequency or causing significant life impairment,moderate
vocal cord polyp,Noncancerous growth on vocal cords causing hoarseness and voice changes.,Voice rest · Hydration · Avoid smoking · Honey lemon tea · Steam inhalation,Voice therapy · Corticosteroids · Proton pump inhibitors,Hoarseness lasting more than 2 weeks or breathing difficulty,mild
turner syndrome,Chromosomal condition in females causing short stature and infertility.,Regular monitoring · Healthy diet · Exercise · Emotional support,Hormone replacement therapy · Growth hormone · Fertility treatment,Always consult an endocrinologist for lifelong management,moderate
cryptorchidism,Condition where one or both testicles fail to descend into the scrotum.,Monitor as per doctor advice · No specific home remedy,Hormonal therapy · Surgical orchiopexy,Always requires medical evaluation before age 1,moderate
atrophic vaginitis,Thinning and inflammation of vaginal walls due to reduced estrogen.,Vaginal moisturizers · Avoid irritants · Stay hydrated · Regular sexual activity,Topical estrogen · Lubricants · Oral estrogen if appropriate,"Bleeding, severe pain, or recurrent infections",mild
glaucoma,Progressive optic nerve damage usually from elevated eye pressure causing vision loss.,Regular eye check · Reduce caffeine · Elevate head while sleeping · Avoid heavy lifting,"Eye drops (beta blockers, prostaglandins) · Carbonic anhydrase inhibitors · Surgery","Any sudden eye pain, vision loss, or halos around lights",severe
eating disorder,Serious mental health condition involving abnormal eating behaviors and distorted body image.,Regular structured meals · Support groups · Therapy · Nutritional education,Antidepressants · Antipsychotics · Nutritional supplementation · CBT,"Rapid weight loss, fainting, or medical complications from malnutrition",severe
transient ischemic attack,Brief stroke-like episode caused by temporary blood flow disruption to the brain.,Seek emergency care immediately — TIA is a warning sign of stroke,Antiplatelets · Anticoagulants · Statins · Blood pressure medications,Immediately — TIA requires emergency evaluation to prevent stroke,severe
pyelonephritis,"Bacterial kidney infection causing fever, flank pain and urinary symptoms.",Hydration · Cranberry juice · Rest · Heating pad on back,Antibiotics · Antipyretics · Analgesics · IV fluids if severe,"High fever, severe pain, vomiting, or no improvement after 48 hours",severe
rotator cuff injury,Tear or strain of shoulder muscles and tendons causing pain and weakness.,Rest · Ice pack · Shoulder exercises · Anti-inflammatory foods · Avoid overhead activities,NSAIDs · Corticosteroid injections · Physical therapy · Surgery if complete tear,"Sudden severe pain, inability to lift arm, or worsening weakness",moderate
chronic pain disorder,Persistent pain lasting more than 3 months affecting daily functioning.,Gentle exercise · Mindfulness · Heat or cold therapy · Sleep hygiene · Distraction techniques,"Analgesics · Antidepressants · Anticonvulsants · Opioids (severe, monitored)",Pain significantly impacting daily life or associated with new neurological symptoms,moderate
liver cancer,Malignant tumor originating in liver cells causing pain and liver dysfunction.,Seek emergency care immediately — follow oncologist advice,Sorafenib · Chemotherapy · Radiation · Surgical resection · Transplant,Always requires immediate specialist oncology care,severe
atelectasis,Partial or complete lung collapse causing breathing difficulty and reduced oxygen.,Deep breathing exercises · Incentive spirometry · Frequent position changes · Hydration,Bronchodilators · Mucolytics · Oxygen therapy · Antibiotics if infected,"Significant breathing difficulty, low oxygen saturation, or fever",severe
cirrhosis,Severe scarring of liver tissue from long-term liver damage affecting all functions.,Avoid alcohol completely · Low sodium diet · No raw seafood · Weight management,Diuretics · Beta blockers · Lactulose · Liver transplant evaluation,"Yellowing skin, swollen abdomen, confusion, or vomiting blood",severe
diabetic retinopathy,Diabetes-related damage to blood vessels in the retina causing vision problems.,Strict blood sugar control · Regular eye exams · Healthy diet · No smoking,Anti-VEGF injections · Laser photocoagulation · Vitrectomy · Insulin optimization,"Any sudden vision change, floaters, or blurred vision in diabetic patient",severe
fibromyalgia,"Widespread musculoskeletal pain with fatigue, sleep and mood issues.",Gentle exercise · Warm baths · Regular sleep schedule · Stress reduction · Yoga,Duloxetine · Pregabalin · Milnacipran · Amitriptyline · NSAIDs,Severe pain limiting all activity or associated depression with suicidal thoughts,moderate
peritonitis,Inflammation of the peritoneum lining the abdomen — a medical emergency.,Seek emergency care immediately,IV antibiotics · IV fluids · Surgery · ICU monitoring,Immediately — peritonitis is life threatening,severe
acute pancreatitis,Sudden inflammation of the pancreas causing severe abdominal pain.,Fast (nil by mouth) · IV fluids · Rest · Avoid alcohol · Low fat diet on recovery,IV fluids · Analgesics · Antibiotics · Enzyme supplements · Surgery if severe,"Severe abdominal pain radiating to back, vomiting, or fever",severe
thrombophlebitis,Inflammation of a vein with blood clot formation causing pain and swelling.,Elevate affected limb · Warm compress · Gentle walking · Compression stockings,NSAIDs · Anticoagulants · Compression therapy · Antibiotics if infected,"Sudden severe pain, redness spreading rapidly, or suspected DVT",moderate
asthma,Chronic inflammatory airway disease causing recurrent breathlessness and wheezing.,Avoid triggers · Breathing exercises · Warm fluids · Air purifier · Yoga pranayama,Bronchodilators · Inhaled corticosteroids · Leukotriene antagonists · Biologics,"Severe breathlessness, blue lips, or inhaler not providing relief",moderate
restless leg syndrome,Neurological disorder causing uncomfortable leg sensations and urge to move.,Regular exercise · Warm bath before bed · Leg massage · Reduce caffeine · Iron check,Dopamine agonists · Iron supplements · Gabapentin · Benzodiazepines,Symptoms severely disrupting sleep or associated with iron deficiency,mild
emphysema,Lung disease with damaged air sacs causing breathlessness and reduced lung capacity.,Quit smoking · Pulmonary rehabilitation · Breathing exercises · Avoid air pollution,Bronchodilators · Inhaled steroids · Oxygen therapy · Lung reduction surgery,"Breathlessness at rest, cyanosis, or frequent exacerbations",severe
infectious gastroenteritis,"Gut infection by virus, bacteria or parasite causing vomiting and diarrhea.",ORS · BRAT diet · Rest · Probiotics · Avoid dairy temporarily,ORS · Antiemetics · Antidiarrheals · Antibiotics if bacterial,"Bloody stool, high fever, severe dehydration, or symptoms beyond 3 days",mild
acute sinusitis,Short-term sinus inflammation usually after cold causing facial pain and congestion.,Steam inhalation · Saline nasal rinse · Warm compress · Hydration · Rest,Decongestants · Analgesics · Nasal steroids · Antibiotics if bacterial,"Severe headache, vision changes, stiff neck, or symptoms beyond 10 days",mild
postpartum depression,Depression occurring after childbirth causing persistent sadness and withdrawal.,Social support · Rest · Therapy · Gentle exercise · Bonding activities,SSRIs · SNRIs · Psychotherapy · Support groups,Thoughts of harming self or baby — seek immediate help,severe
coronary atherosclerosis,Buildup of plaque in coronary arteries narrowing blood flow to the heart.,Heart-healthy diet · Regular exercise · Quit smoking · Stress management · Weight control,Statins · Aspirin · Beta blockers · ACE inhibitors · Angioplasty if severe,"Chest pain, breathlessness on exertion, or jaw or arm pain",severe
spondylitis,Inflammatory condition of the spine causing back pain and stiffness.,Posture exercises · Swimming · Heat therapy · Weight management · Anti-inflammatory diet,NSAIDs · DMARDs · Biologics (TNF inhibitors) · Physical therapy,"Increasing pain, loss of mobility, or eye inflammation",moderate
uterine fibroids,Noncancerous uterine muscle growths causing heavy periods and pelvic pain.,Iron-rich diet · Exercise · Green tea · Avoid red meat · Heat pad for cramps,Hormonal therapy · GnRH agonists · Tranexamic acid · Myomectomy,"Very heavy bleeding, severe pelvic pain, or difficulty urinating",moderate
vaginal yeast infection,"Fungal infection causing vaginal itching, discharge and discomfort.",Probiotic yogurt · Avoid tight clothing · Keep area dry · Cotton underwear,Topical antifungals · Oral fluconazole · Boric acid suppositories,"Recurring infections, pregnancy, or first-time diagnosis for confirmation",mild
atrial fibrillation,Irregular heart rhythm causing rapid disorganized electrical signals in atria.,Avoid alcohol and caffeine · Regular monitoring · Stress reduction · Regular exercise,Anticoagulants · Beta blockers · Calcium channel blockers · Cardioversion,"Chest pain, sudden breathlessness, dizziness, or stroke symptoms",severe
abdominal hernia,Protrusion of organ or tissue through abdominal wall causing visible bulge.,Avoid heavy lifting · Weight management · High fiber diet · Supportive belt,Pain relievers · Surgical repair (hernioplasty) — definitive treatment,"Sudden severe pain, redness over bulge, or inability to push hernia back",moderate
cerebral palsy,Group of permanent movement disorders from early brain development damage.,Physiotherapy · Occupational therapy · Assistive devices · Family support,Muscle relaxants · Anticonvulsants · Botulinum toxin · Orthotics,"Increasing spasticity, seizures, or regression in motor function",severe
obesity,Excessive body fat accumulation increasing risk of multiple chronic diseases.,Calorie deficit diet · Regular exercise · Reduce sugar · Mindful eating · Hydration,Orlistat · Metformin · GLP-1 agonists · Bariatric surgery if BMI above 40,BMI above 40 or obesity-related complications like diabetes or hypertension,moderate
indigestion,Discomfort in upper abdomen from poor digestion causing bloating and nausea.,Small frequent meals · Ginger tea · Avoid spicy foods · Sit upright after eating,Antacids · H2 blockers · PPIs · Prokinetics · Digestive enzymes,"Severe pain, vomiting blood, unexplained weight loss, or difficulty swallowing",mild
bursitis,Inflammation of fluid-filled sacs cushioning joints causing pain and swelling.,Rest · Ice pack · Elevation · Gentle stretching · Avoid repetitive movements,NSAIDs · Corticosteroid injections · Physical therapy · Antibiotics if infected,"Severe swelling, redness, fever, or no improvement after 2 weeks",mild
esophageal cancer,Malignant tumor of the esophagus causing progressive swallowing difficulty.,Seek specialist care immediately — nutritional support · Soft diet,Chemotherapy · Radiation · Surgery · Palliative care · Targeted therapy,Always requires immediate oncology specialist evaluation,severe
acute otitis media,"Middle ear infection causing ear pain, fever and hearing difficulty.",Warm compress on ear · Rest · Hydration · Nasal saline drops · Elevate head,Analgesics · Antibiotics · Decongestants · Ear drops,"Ear discharge, hearing loss, facial weakness, or no improvement after 48 hours",mild
deep vein thrombosis (dvt),"Blood clot in deep vein usually in leg causing swelling, pain and redness.",Elevate leg · Compression stockings · Stay active · Hydration · Avoid prolonged sitting,Anticoagulants · Thrombolytics (severe) · Compression therapy,Any suspected DVT — seek immediate care to prevent pulmonary embolism,severe
hypothyroidism,Underactive thyroid gland producing insufficient thyroid hormones.,Selenium-rich foods · Avoid raw goitrogens · Regular sleep · Stress management,Levothyroxine · T3 supplementation · Regular TSH monitoring,"Extreme fatigue, unexplained weight gain, or cold intolerance",moderate
primary insomnia,Persistent difficulty falling or staying asleep without an underlying medical cause.,Fixed sleep schedule · Dark cool room · No screens before bed · Relaxation techniques,Melatonin · Antihistamines (short term) · Zolpidem · CBT-I therapy,Insomnia lasting over 3 months or causing significant daytime impairment,mild
vitamin b12 deficiency,"Insufficient vitamin B12 causing fatigue, nerve damage and megaloblastic anemia.",Meat · Fish · Dairy · Eggs · Fortified cereals and nutritional yeast,Vitamin B12 injections · Oral cyanocobalamin · Sublingual B12,"Neurological symptoms like tingling, numbness, or balance problems",mild
diabetes,Chronic metabolic disorder where the body cannot regulate blood glucose properly.,Low sugar diet · Regular exercise · Bitter gourd juice · Fenugreek seeds · Monitor glucose,Metformin · Glimepiride · Insulin · DPP-4 inhibitors · SGLT2 inhibitors,Always consult a doctor — requires ongoing prescription management,moderate
endometriosis,Tissue similar to uterine lining grows outside uterus causing pain and infertility.,Heat pad · Anti-inflammatory diet · Exercise · Omega-3 rich foods · Rest during periods,NSAIDs · Hormonal contraceptives · GnRH agonists · Laparoscopy,"Severe pelvic pain, difficulty conceiving, or pain during intercourse",moderate
chronic kidney disease,Progressive loss of kidney function over months or years leading to renal failure.,Low protein diet · Low sodium · Adequate hydration · Avoid nephrotoxic drugs,ACE inhibitors · Diuretics · Phosphate binders · Erythropoietin · Dialysis,"Swelling, reduced urine output, or rapid deterioration in kidney function",severe
mononucleosis,"Viral infection from Epstein-Barr virus causing fatigue, sore throat and swollen glands.",Rest · Adequate hydration · Salt water gargle · Avoid contact sports,Analgesics · Antipyretics · Corticosteroids if severe · Supportive care,"Difficulty breathing, severe abdominal pain, or spleen rupture signs",moderate
bipolar disorder,Mental health condition causing extreme mood swings from mania to depression.,Regular sleep schedule · Avoid alcohol · Stress management · Support groups,Mood stabilizers · Antipsychotics · Antidepressants · Psychotherapy,"Manic episode, suicidal thoughts, or inability to function",severe
gastroesophageal reflux disease (gerd),Chronic condition where stomach acid flows back into esophagus causing heartburn.,Elevate head of bed · Small meals · Avoid late eating · No caffeine or alcohol,PPIs · H2 blockers · Antacids · Prokinetics · Alginate preparations,"Difficulty swallowing, chest pain, or unexplained weight loss",mild
scleroderma,Autoimmune disease causing hardening and tightening of skin and connective tissue.,Moisturize skin · Warm clothing · Physical therapy · Anti-inflammatory diet,Immunosuppressants · Vasodilators · PPIs · Physical therapy,"Rapid skin tightening, breathing difficulty, or kidney crisis",severe
myasthenia gravis,Autoimmune neuromuscular disease causing muscle weakness that worsens with activity.,Rest between activities · Avoid heat · Soft foods · Eye patch for double vision,Acetylcholinesterase inhibitors · Immunosuppressants · Plasmapheresis · IVIG,"Difficulty breathing, swallowing crisis, or rapid muscle weakness",severe
hypoglycemia,"Abnormally low blood glucose causing dizziness, sweating and confusion.",Immediate sugar intake — glucose tablets · Fruit juice · Candy · Honey,Glucose gel · Glucagon injection (severe) · IV dextrose,"Unconsciousness, seizure, or glucose below 50 mg/dL",severe
panic attack,Sudden episode of intense fear with physical symptoms like pounding heart.,Slow deep breathing · Grounding 5-4-3-2-1 technique · Cold water on face · Walk,Benzodiazepines (acute) · SSRIs (preventive) · Beta blockers · CBT,"Frequent attacks, associated chest pain, or complete avoidance of daily activities",moderate
plantar fasciitis,Inflammation of plantar fascia causing stabbing heel pain especially in morning.,Ice massage · Stretching exercises · Rest · Supportive footwear · Night splint,NSAIDs · Corticosteroid injections · Orthotics · Shockwave therapy,Severe pain preventing walking or no improvement after 3 months of treatment,mild
hiatal hernia,Part of stomach pushes up through diaphragm causing heartburn and regurgitation.,Small meals · Avoid lying down after eating · Weight loss · Elevate bed head,Antacids · PPIs · H2 blockers · Surgery if large or symptomatic,"Severe chest pain, difficulty swallowing, or vomiting blood",mild
meniere disease,"Inner ear disorder causing vertigo, tinnitus, hearing loss and ear fullness.",Low sodium diet · Avoid caffeine and alcohol · Stress management · Vestibular exercises,Diuretics · Antihistamines · Betahistine · Corticosteroids · Endolymphatic shunt,"Sudden severe vertigo, progressive hearing loss, or falls",moderate
anal fissure,Small tear in the lining of the anus causing pain and bleeding during bowel movements.,High fiber diet · Sitz bath · Plenty of fluids · Avoid straining · Aloe vera,Topical anesthetics · Calcium channel blockers · Botulinum toxin · Surgery,"Severe bleeding, pain not improving, or associated rectal mass",mild
allergy,Immune system overreaction to harmless substances causing various symptoms.,Identify and avoid triggers · HEPA filters · Saline nasal rinse · Local honey,Antihistamines · Corticosteroids · Decongestants · Immunotherapy,"Anaphylaxis, severe breathing difficulty, or uncontrolled symptoms",mild
lymphoma,"Cancer of lymphatic system causing swollen lymph nodes, fever and weight loss.",Seek specialist care immediately — nutritional support · Rest,Chemotherapy · Radiation · Immunotherapy · Stem cell transplant · Targeted therapy,Always requires immediate oncology evaluation,severe
parkinson disease,"Progressive neurological disorder causing tremors, stiffness and slow movements.",Regular exercise · Physical therapy · High fiber diet · Music therapy,Levodopa · Dopamine agonists · MAO-B inhibitors · Deep brain stimulation,"Rapid worsening, falls, swallowing difficulty, or cognitive decline",severe
gout,Painful inflammatory arthritis from uric acid crystal deposits in joints.,Low purine diet · Hydration · Avoid alcohol · Cherry juice · Elevate affected joint,NSAIDs · Colchicine · Allopurinol · Febuxostat · Corticosteroids,"Severe attack, kidney stones, or tophi formation",moderate
otitis media,"Middle ear infection causing ear pain, fluid buildup and hearing difficulty.",Warm compress · Rest · Hydration · Nasal decongestant · Breastfeed infants,Analgesics · Antibiotics · Decongestants · Myringotomy if persistent,"Ear discharge, mastoid swelling, facial weakness, or prolonged symptoms",mild
acute kidney injury,"Sudden loss of kidney function from injury, illness or medication causing toxin buildup.",Stay hydrated · Avoid nephrotoxic drugs · Monitor urine output,IV fluids · Diuretics · Electrolyte correction · Dialysis if severe,"Reduced urine output, swelling, confusion, or known kidney disease",severe
gum disease,"Bacterial infection of gums causing inflammation, bleeding and tooth loss.",Salt water rinse · Oil pulling · Proper brushing · Flossing · Green tea,Antibiotics · Antiseptic mouthwash · Scaling · Surgical periodontal treatment,"Loose teeth, severe bleeding, or abscess formation",mild
tension headache,Most common headache type causing mild to moderate pressing pain around head.,Rest in quiet dark room · Cold or warm compress · Massage temples · Hydration,Paracetamol · Ibuprofen · Aspirin · Amitriptyline (preventive),"Headache with fever, stiff neck, vision changes, or worst headache of life",mild
narcolepsy,Chronic sleep disorder causing overwhelming daytime drowsiness and sudden sleep attacks.,Regular sleep schedule · Short scheduled naps · Avoid alcohol · Safety precautions,Modafinil · Amphetamines · Sodium oxybate · Antidepressants,"Sudden muscle weakness (cataplexy), sleep paralysis, or driving impairment",moderate
food allergy,Immune reaction to specific foods ranging from hives to life-threatening anaphylaxis.,Identify and strictly avoid trigger food · Read all food labels · Carry epinephrine,Antihistamines · Corticosteroids · Epinephrine auto-injector (anaphylaxis),"Throat swelling, difficulty breathing, or anaphylaxis — call emergency",moderate
labyrinthitis,"Inner ear inflammation causing severe vertigo, nausea and hearing loss.",Rest · Avoid sudden movements · Hydration · Avoid bright screens · Ginger for nausea,Antihistamines · Corticosteroids · Antiemetics · Vestibular suppressants,"Sudden hearing loss, severe vertigo lasting days, or neurological symptoms",moderate
anxiety,Persistent excessive worry and fear interfering with daily activities.,Deep breathing · Meditation · Regular exercise · Limit caffeine · Journaling · Therapy,SSRIs · SNRIs · Buspirone · Benzodiazepines (short term) · Beta blockers,"Panic attacks, inability to function, or thoughts of self-harm",moderate
leukemia,Cancer of blood-forming tissues causing abnormal white blood cell production.,Seek specialist care immediately — nutritional support · Infection prevention,Chemotherapy · Targeted therapy · Immunotherapy · Stem cell transplant,Always requires immediate oncology evaluation,severe
bell palsy,Sudden one-sided facial muscle weakness from facial nerve dysfunction.,Eye drops for dry eye · Eye patch at night · Gentle facial massage · Warmth,Corticosteroids · Antiviral medications · Eye lubricants · Physiotherapy,"Complete paralysis, no recovery after 3 weeks, or associated hearing loss",moderate
drug reaction,"Adverse response to medication causing skin rash, fever or organ damage.",Stop suspected medication with doctor guidance · Stay hydrated · Cool baths for rash,Antihistamines · Corticosteroids · Epinephrine (anaphylaxis) · Supportive care,"Difficulty breathing, throat swelling, blistering rash, or organ involvement",moderate
osteoarthritis,Degenerative joint disease from cartilage breakdown causing pain and stiffness.,Low-impact exercise · Weight loss · Hot or cold therapy · Glucosamine supplements,NSAIDs · Analgesics · Topical diclofenac · Intra-articular steroids,"Severe pain limiting movement, joint instability, or rapid progression",moderate
thyroid disease,Disorder of thyroid gland function causing metabolic disturbances.,Iodine-rich diet · Avoid excessive soy · Selenium foods · Regular monitoring,Levothyroxine · Antithyroid drugs · Radioactive iodine · Surgery,"Rapid heart rate, extreme fatigue, large goiter, or thyroid storm",moderate
pharyngitis,Inflammation of the pharynx causing sore throat and swallowing difficulty.,Warm salt water gargle · Honey ginger tea · Rest · Steam inhalation,Analgesics · Antibiotics if bacterial · Antiseptic gargles · Throat lozenges,"High fever, severe pain, rash, or symptoms beyond 7 days",mild
hypocalcemia,"Low blood calcium causing muscle cramps, numbness and heart rhythm problems.",Dairy products · Leafy greens · Calcium-fortified foods · Vitamin D sunlight,Calcium supplements · Vitamin D · IV calcium (severe) · Magnesium,"Muscle spasms, seizures, or abnormal heart rhythm",moderate
macular degeneration,Progressive damage to central retina causing central vision loss.,Leafy green vegetables · Omega-3 foods · Antioxidant supplements · Quit smoking,Anti-VEGF injections · Vitamins C E zinc lutein · Laser treatment,Any sudden change in central vision — urgent ophthalmology review,severe
pneumonia,Lung infection causing air sac inflammation with fluid and difficulty breathing.,Rest · Plenty of fluids · Steam inhalation · Turmeric milk · Elevated head position,Antibiotics · Antipyretics · Expectorants · Bronchodilators · Oxygen therapy,"Oxygen below 94%, high persistent fever, or inability to maintain hydration",severe
cold sore,Herpes simplex virus infection causing painful blisters around the lips.,Ice pack · Aloe vera · Lemon balm · Avoid touching sores · Sunscreen on lips,Topical acyclovir · Oral antivirals · Lysine supplements · Pain relief cream,"Frequent outbreaks, eye involvement, or immunocompromised state",mild
breast cancer,Malignant tumor developing in breast tissue requiring immediate specialist care.,Seek specialist care immediately — healthy diet · Regular exercise · Support groups,Surgery · Chemotherapy · Radiation · Hormone therapy · Targeted therapy,Always requires immediate oncology specialist evaluation,severe
cystic fibrosis,Inherited disorder causing thick mucus buildup in lungs and digestive system.,Chest physiotherapy · Adequate hydration · High calorie diet · Exercise,Mucolytics · Bronchodilators · Pancreatic enzymes · CFTR modulators · Antibiotics,"Respiratory exacerbation, weight loss, or reduced lung function",severe
temporal mandibular joint disorder,"Jaw joint dysfunction causing pain, clicking and limited mouth opening.",Soft diet · Warm compress · Jaw exercises · Avoid teeth clenching · Stress reduction,NSAIDs · Muscle relaxants · Occlusal splint · Botulinum toxin · Physiotherapy,"Locking jaw, severe pain, or difficulty eating",mild
gonorrhea,Sexually transmitted bacterial infection causing genital discharge and pain.,Safe sex · Partner treatment · Hydration · Avoid sexual activity until treated,Ceftriaxone injection · Azithromycin · Doxycycline · Partner treatment mandatory,Always requires prescription treatment and partner notification,moderate
ectopic pregnancy,Fertilized egg implants outside uterus — a medical emergency.,Seek emergency care immediately,Methotrexate · Surgical removal — emergency intervention,Immediately — ectopic pregnancy can be fatal without treatment,severe
carpal tunnel syndrome,Compression of median nerve at wrist causing hand numbness and weakness.,Wrist splint · Rest · Ice · Ergonomic keyboard · Wrist stretches,NSAIDs · Corticosteroid injections · Carpal tunnel release surgery,"Constant numbness, thenar muscle wasting, or grip weakness",mild
kidney stone,Hard mineral deposits in kidneys causing severe colicky flank pain.,Drink 3 litres water daily · Lemon juice · Avoid oxalate rich foods · Low sodium diet,NSAIDs · Alpha blockers · Lithotripsy · Ureteroscopy for large stones,"Pain uncontrolled, fever with pain, or complete inability to urinate",severe
autism,"Neurodevelopmental condition affecting communication, behavior and social interaction.",Structured routine · Sensory-friendly environment · ABA therapy · Social skills training,Risperidone · Aripiprazole · Melatonin · SSRIs · Speech and occupational therapy,"Regression in skills, self-harm, or safety concerns",moderate
aplastic anemia,Bone marrow failure causing severely reduced production of all blood cells.,Infection prevention · Avoid bleeding risks · Nutritional support · Rest,Immunosuppressants · Growth factors · Bone marrow transplant · Transfusions,Always requires immediate hematology specialist care,severe
syphilis,Sexually transmitted bacterial infection causing staged disease affecting multiple organs.,Safe sex · Avoid sexual contact until treated · Partner notification,Penicillin G · Doxycycline · Azithromycin · Partner treatment,Any suspected syphilis requires immediate testing and treatment,severe
drug withdrawal,Physical and psychological symptoms from stopping addictive substances.,Gradual tapering · Hydration · Nutritional support · Support groups · Therapy,Methadone · Buprenorphine · Clonidine · Benzodiazepines · Naltrexone,"Seizures, severe agitation, hallucinations, or cardiac symptoms",severe
hypercholesterolemia,Elevated blood cholesterol levels increasing risk of heart disease.,Low saturated fat diet · Regular exercise · Avoid trans fats · Increase fiber · Omega-3,Statins · Ezetimibe · PCSK9 inhibitors · Bile acid sequestrants · Fibrates,"Chest pain, known heart disease, or very high cholesterol above 300",moderate
kidney failure,Complete loss of kidney function requiring dialysis or transplant.,Strict fluid restriction · Low potassium and phosphorus diet · Salt restriction,Dialysis · Erythropoietin · Phosphate binders · Kidney transplant,Always requires immediate nephrologist care,severe
muscle spasm,Sudden involuntary contraction of muscle causing pain and tightness.,Gentle stretching · Heat or ice · Massage · Hydration · Magnesium-rich foods,Muscle relaxants · NSAIDs · Topical analgesics · Magnesium supplements,"Severe persistent spasms, associated weakness, or after injury",mild
hemophilia,Inherited bleeding disorder from deficient clotting factors causing prolonged bleeding.,Avoid aspirin and NSAIDs · Protective gear · First aid for cuts · Medic alert bracelet,Factor replacement therapy · Desmopressin · Antifibrinolytics · Gene therapy,"Any significant bleeding, head injury, or joint hemorrhage",severe
peritonsillar abscess,Collection of pus near tonsil causing severe sore throat and difficulty opening mouth.,Salt water gargle · Cold fluids · Rest · Analgesics,Antibiotics · Needle aspiration · Surgical drainage · Tonsillectomy,"Difficulty breathing, severe drooling, or muffled voice",severe
gastroparesis,"Delayed stomach emptying causing nausea, vomiting and feeling full quickly.",Small frequent low-fat meals · Avoid high fiber · Liquid nutrition · Walk after meals,Prokinetics · Antiemetics · Domperidone · Gastric electrical stimulation,"Severe vomiting, significant weight loss, or blood sugar instability",moderate
thrombocytopenia,"Low platelet count causing easy bruising, petechiae and bleeding risk.",Avoid aspirin and NSAIDs · Protective measures · Soft toothbrush · Soft foods,Corticosteroids · IVIG · Rituximab · Platelet transfusion · Splenectomy,"Active bleeding, platelet count below 20000, or head injury",severe
goiter,Abnormal enlargement of thyroid gland causing visible neck swelling.,Adequate iodine intake · Selenium-rich foods · Avoid excessive soy · Monitor thyroid,Levothyroxine · Antithyroid drugs · Radioactive iodine · Surgical thyroidectomy,"Difficulty swallowing, breathing problems, or rapidly growing goiter",moderate
muscular dystrophy,Genetic diseases causing progressive muscle weakness and degeneration.,Physical therapy · Assistive devices · Respiratory support · Nutritional care,Corticosteroids · Exon-skipping therapy · Respiratory support · Physiotherapy,"Respiratory difficulty, swallowing problems, or rapid motor decline",severe
scarlet fever,Bacterial infection with strep throat and characteristic red rash.,Rest · Cool fluids · Oatmeal bath for rash · Salt water gargle,Antibiotics (penicillin or amoxicillin) · Antipyretics · Analgesics,"Difficulty breathing, rash spreading, or kidney complications",moderate
polycystic ovarian syndrome (pcos),"Hormonal disorder causing irregular periods, excess androgens and polycystic ovaries.",Low glycemic diet · Regular exercise · Weight management · Spearmint tea · Cinnamon,Combined oral contraceptives · Metformin · Spironolactone · Clomiphene,"Severe period problems, difficulty conceiving, or signs of diabetes",moderate
encephalitis,Inflammation of the brain usually from viral infection causing confusion and seizures.,Seek emergency care immediately,Antiviral medications · Corticosteroids · Anticonvulsants · ICU supportive care,Immediately — encephalitis is a life-threatening medical emergency,severe
optic neuritis,Inflammation of optic nerve causing pain and temporary vision loss.,Rest · Avoid overheating · Reduce stress · Monitor vision,IV methylprednisolone · Oral steroids · Disease-modifying therapy if MS-related,Any sudden vision loss or eye pain — urgent ophthalmology evaluation,severe
alcohol withdrawal,Dangerous syndrome from stopping heavy alcohol use causing tremors and seizures.,Medical supervision required · Hydration · Nutritional support · Safe environment,Benzodiazepines · Thiamine · Anticonvulsants · Clonidine · Naltrexone,"Seizures, hallucinations, or severe confusion — medical emergency",severe
